"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"1",1184,1194.5,1169.5,1186,138,1186
"2",1180.30004882812,1206.90002441406,1180.09997558594,1203.90002441406,470,1203.90002441406
"3",1203.5,1220,1203.5,1219.30004882812,97,1219.30004882812
"4",1219.19995117188,1219.19995117188,1210.59997558594,1210.59997558594,29,1210.59997558594
"5",1207,1215.69995117188,1206.30004882812,1208.40002441406,92,1208.40002441406
"6",1211.09997558594,1220.19995117188,1210.30004882812,1216,43,1216
"7",1224.19995117188,1234.40002441406,1219.09997558594,1232.69995117188,100,1232.69995117188
"8",1239.19995117188,1239.30004882812,1230.30004882812,1234.30004882812,20,1234.30004882812
"9",1229.59997558594,1243.80004882812,1225.59997558594,1234.40002441406,21,1234.40002441406
"10",1231.5,1265,1227.30004882812,1264.69995117188,130,1264.69995117188
"11",1256.09997558594,1279.69995117188,1256.09997558594,1276.90002441406,44,1276.90002441406
"12",1278.90002441406,1297.30004882812,1273.80004882812,1294.19995117188,157,1294.19995117188
"13",1295.19995117188,1303.5,1286.69995117188,1293.69995117188,78,1293.69995117188
"14",1293.19995117188,1302.09997558594,1283.5,1300.69995117188,131,1300.69995117188
"15",1299.80004882812,1299.80004882812,1292.59997558594,1292.59997558594,23,1292.59997558594
"16",1289.5,1290.59997558594,1279.40002441406,1279.40002441406,26,1279.40002441406
"17",1277.19995117188,1291.69995117188,1277.19995117188,1291.69995117188,20,1291.69995117188
"18",1285.90002441406,1286.80004882812,1285.90002441406,1285.90002441406,180387,1285.90002441406
"19",1283.30004882812,1285.40002441406,1251,1254.59997558594,67983,1254.59997558594
"20",1258,1284.30004882812,1257,1278.5,8626,1278.5
"21",1284.09997558594,1284.09997558594,1266,1276.19995117188,1654,1276.19995117188
"22",1273.5,1284.69995117188,1255.30004882812,1259.69995117188,2380,1259.69995117188
"23",1262,1271.59997558594,1256.80004882812,1263.80004882812,668,1263.80004882812
"24",1271.80004882812,1272.59997558594,1257.80004882812,1262,133,1262
"25",1265,1267.59997558594,1228,1233.90002441406,432,1233.90002441406
"26",1237.5,1242.30004882812,1235.40002441406,1240.80004882812,319,1240.80004882812
"27",1237.5,1245,1231.19995117188,1231.59997558594,231,1231.59997558594
"28",1233.30004882812,1237.40002441406,1219,1219,102,1219
"29",1217.90002441406,1229.80004882812,1217.90002441406,1220.09997558594,99,1220.09997558594
"30",1222.19995117188,1232.80004882812,1222.19995117188,1226.5,65,1226.5
"31",1227.69995117188,1234,1203,1208.09997558594,204,1208.09997558594
"32",1207.09997558594,1210.19995117188,1197.80004882812,1199.69995117188,147,1199.69995117188
"33",1216.5,1220,1205,1207.09997558594,65,1207.09997558594
"34",1206.5,1213.09997558594,1199.09997558594,1204.40002441406,51,1204.40002441406
"35",1201.30004882812,1203.30004882812,1191.59997558594,1200.30004882812,268,1200.30004882812
"36",1203.40002441406,1203.5,1193.80004882812,1196.90002441406,151,1196.90002441406
"37",1204.30004882812,1204.59997558594,1201,1201,570,1201
"38",1204.80004882812,1219,1204.80004882812,1209.59997558594,560,1209.59997558594
"39",1207.69995117188,1217.80004882812,1204.5,1212.59997558594,195,1212.59997558594
"40",1214.30004882812,1222.69995117188,1204.90002441406,1207.69995117188,124,1207.69995117188
"41",1201.5,1212,1195,1204,51,1204
"42",1204.80004882812,1206.90002441406,1198,1200.59997558594,27,1200.59997558594
"43",1201.69995117188,1205.40002441406,1195.90002441406,1195.90002441406,29,1195.90002441406
"44",1195,1195.69995117188,1163.69995117188,1164.09997558594,168,1164.09997558594
"45",1169.40002441406,1174.19995117188,1166.30004882812,1166.40002441406,45,1166.40002441406
"46",1166.40002441406,1168.40002441406,1156.5,1160.09997558594,94,1160.09997558594
"47",1162,1162,1147.69995117188,1150.69995117188,74,1150.69995117188
"48",1155.40002441406,1160.5,1149.69995117188,1152.09997558594,63,1152.09997558594
"49",1158.19995117188,1159.19995117188,1152.59997558594,1152.59997558594,44,1152.59997558594
"50",1159.69995117188,1162.30004882812,1150.09997558594,1153.30004882812,56,1153.30004882812
"51",1153.59997558594,1158.19995117188,1144.30004882812,1148.30004882812,71,1148.30004882812
"52",1148.69995117188,1174.30004882812,1147,1151.40002441406,112,1151.40002441406
"53",1171.59997558594,1171.59997558594,1159.30004882812,1169.09997558594,39,1169.09997558594
"54",1171,1185.40002441406,1171,1184.80004882812,54,1184.80004882812
"55",1181.59997558594,1188,1181.19995117188,1188,5,1188
"56",1188,1193,1186,1191.69995117188,411,1191.69995117188
"57",1192.5,1199.19995117188,1192.5,1197.30004882812,11,1197.30004882812
"58",1198.19995117188,1213.69995117188,1198.19995117188,1205.09997558594,68,1205.09997558594
"59",1197,1199.80004882812,1196.30004882812,1199.80004882812,172260,1199.80004882812
"60",1198,1198.5,1181.59997558594,1184.80004882812,37990,1184.80004882812
"61",1185.80004882812,1190.09997558594,1178.19995117188,1183.09997558594,3409,1183.09997558594
"62",1182.90002441406,1208.19995117188,1181,1208.09997558594,1632,1208.09997558594
"63",1204,1205.69995117188,1194.80004882812,1200.90002441406,1684,1200.90002441406
"64",1209.90002441406,1224.19995117188,1209.90002441406,1218.59997558594,343,1218.59997558594
"65",1214.80004882812,1214.80004882812,1208.19995117188,1210.59997558594,406,1210.59997558594
"66",1208.90002441406,1211.40002441406,1197.59997558594,1203.09997558594,236,1203.09997558594
"67",1201.69995117188,1202.5,1193,1193.59997558594,521,1193.59997558594
"68",1195.80004882812,1209.59997558594,1195.80004882812,1204.59997558594,202,1204.59997558594
"69",1208.09997558594,1208.09997558594,1198.30004882812,1199.30004882812,424,1199.30004882812
"70",1198.80004882812,1200.59997558594,1184.09997558594,1192.80004882812,546,1192.80004882812
"71",1194.59997558594,1203.09997558594,1188.59997558594,1201.5,196,1201.5
"72",1204.30004882812,1208.5,1194.59997558594,1198,199,1198
"73",1200.19995117188,1206,1200.19995117188,1202.90002441406,21,1202.90002441406
"74",1205.69995117188,1206.90002441406,1191,1193.5,67,1193.5
"75",1193.19995117188,1202.90002441406,1192.80004882812,1202.90002441406,33,1202.90002441406
"76",1199.09997558594,1202.59997558594,1185.19995117188,1186.90002441406,93,1186.90002441406
"77",1187.19995117188,1197,1186.09997558594,1194.40002441406,331,1194.40002441406
"78",1192.30004882812,1194.69995117188,1174.59997558594,1175.19995117188,52,1175.19995117188
"79",1182.30004882812,1206.69995117188,1181.40002441406,1203.30004882812,194,1203.30004882812
"80",1199.69995117188,1214,1199.69995117188,1214,401,1214
"81",1211.19995117188,1212.59997558594,1201.90002441406,1209.80004882812,114,1209.80004882812
"82",1203.09997558594,1205.90002441406,1176.69995117188,1182.40002441406,143,1182.40002441406
"83",1178.09997558594,1178.09997558594,1170,1174.5,23,1174.5
"84",1177.5,1189.40002441406,1177.5,1186.80004882812,38,1186.80004882812
"85",1187.5,1198.69995117188,1186.90002441406,1193.19995117188,48,1193.19995117188
"86",1194.5,1194.59997558594,1189.90002441406,1190.30004882812,14,1190.30004882812
"87",1181.5,1186,1179.69995117188,1182.40002441406,44,1182.40002441406
"88",1183.30004882812,1189.09997558594,1182.90002441406,1189.09997558594,51,1189.09997558594
"89",1189.69995117188,1190.5,1179.30004882812,1183.19995117188,26,1183.19995117188
"90",1194.59997558594,1194.80004882812,1189.69995117188,1192.59997558594,10,1192.59997558594
"91",1192.69995117188,1218.40002441406,1191,1218.40002441406,34,1218.40002441406
"92",1214.5,1225.59997558594,1214.5,1225.40002441406,35,1225.40002441406
"93",1218.5,1225.5,1214.80004882812,1225.5,12,1225.5
"94",1224.5,1228.09997558594,1222.59997558594,1227.80004882812,8,1227.80004882812
"95",1223.90002441406,1223.90002441406,1206,1206.90002441406,9,1206.90002441406
"96",1205.09997558594,1210.80004882812,1205.09997558594,1208.90002441406,11,1208.90002441406
"97",1204.5,1204.5,1203.69995117188,1204.40002441406,43,1204.40002441406
"98",1211.59997558594,1211.90002441406,1204.30004882812,1204.30004882812,8,1204.30004882812
"99",1193.59997558594,1193.59997558594,1186,1187.19995117188,40,1187.19995117188
"100",1185.90002441406,1185.90002441406,1185.90002441406,1185.90002441406,200216,1185.90002441406
"101",1187.09997558594,1192,1179.59997558594,1188.09997558594,52705,1188.09997558594
"102",1187.80004882812,1193.30004882812,1185.69995117188,1189.40002441406,4748,1189.40002441406
"103",1190.59997558594,1204,1184.30004882812,1188.30004882812,1236,1188.30004882812
"104",1189,1194.30004882812,1186,1194.09997558594,1003,1194.09997558594
"105",1193.90002441406,1193.90002441406,1179.09997558594,1184.69995117188,630,1184.69995117188
"106",1184.90002441406,1185.30004882812,1173,1174.90002441406,447,1174.90002441406
"107",1176.40002441406,1177.30004882812,1164,1167.80004882812,390,1167.80004882812
"108",1169.5,1176.09997558594,1169.09997558594,1173.19995117188,173,1173.19995117188
"109",1172.90002441406,1180.30004882812,1172.69995117188,1177.30004882812,144,1177.30004882812
"110",1176.09997558594,1190.09997558594,1175.59997558594,1186.09997558594,295,1186.09997558594
"111",1183.19995117188,1183.19995117188,1174.40002441406,1179.90002441406,69,1179.90002441406
"112",1180.40002441406,1181.19995117188,1176.19995117188,1178.80004882812,141,1178.80004882812
"113",1179.90002441406,1188.5,1172.69995117188,1185.30004882812,102,1185.30004882812
"114",1186.5,1186.5,1175.90002441406,1180.5,29,1180.5
"115",1177.59997558594,1186.30004882812,1174.90002441406,1176.40002441406,168,1176.40002441406
"116",1183.40002441406,1202,1183.40002441406,1201.5,130,1201.5
"117",1199.69995117188,1203.09997558594,1199.69995117188,1201.5,142,1201.5
"118",1197.80004882812,1197.80004882812,1182.69995117188,1183.69995117188,30,1183.69995117188
"119",1183.80004882812,1186,1176.19995117188,1176.19995117188,60,1176.19995117188
"120",1176.59997558594,1176.59997558594,1170.69995117188,1172.59997558594,263,1172.59997558594
"121",1175.80004882812,1175.90002441406,1171.5,1171.5,95,1171.5
"122",1170.5,1172.90002441406,1170.5,1172.90002441406,308,1172.90002441406
"123",1185.09997558594,1186,1173.80004882812,1178.5,174,1178.5
"124",1176.30004882812,1176.40002441406,1166.59997558594,1171.5,223,1171.5
"125",1173.09997558594,1173.09997558594,1166.59997558594,1169,455,1169
"126",1166.40002441406,1168.09997558594,1155.5,1163,316,1163
"127",1171.09997558594,1173,1162.19995117188,1172.90002441406,634,1172.90002441406
"128",1166.80004882812,1166.80004882812,1149.5,1152.40002441406,469,1152.40002441406
"129",1152.59997558594,1163.30004882812,1146.40002441406,1163.30004882812,65,1163.30004882812
"130",1154.80004882812,1163.59997558594,1154.80004882812,1159,65,1159
"131",1160.09997558594,1161.40002441406,1157.5,1157.69995117188,27,1157.69995117188
"132",1159,1159,1151.19995117188,1155.19995117188,14,1155.19995117188
"133",1157.19995117188,1157.19995117188,1153,1153.30004882812,39,1153.30004882812
"134",1154,1154,1144.80004882812,1147.19995117188,15,1147.19995117188
"135",1146.19995117188,1146.19995117188,1142.90002441406,1143.80004882812,14,1143.80004882812
"136",1144,1144,1130.19995117188,1131.80004882812,120,1131.80004882812
"137",1130.40002441406,1130.69995117188,1095.09997558594,1106.69995117188,189,1106.69995117188
"138",1097.09997558594,1106.40002441406,1097.09997558594,1103.40002441406,118,1103.40002441406
"139",1093,1095,1086,1091.40002441406,46,1091.40002441406
"140",1097.40002441406,1097.59997558594,1087.80004882812,1094,64,1094
"141",1078.59997558594,1100.69995117188,1078.59997558594,1085.59997558594,52,1085.59997558594
"142",1100,1102.5,1093.90002441406,1096.5,19,1096.5
"143",1097.19995117188,1097.69995117188,1096.30004882812,1096.30004882812,31,1096.30004882812
"144",1096.40002441406,1096.90002441406,1092.69995117188,1092.69995117188,159142,1092.69995117188
"145",1096.09997558594,1097.5,1081,1088.40002441406,49298,1088.40002441406
"146",1087.69995117188,1102.80004882812,1079.09997558594,1094.90002441406,5700,1094.90002441406
"147",1095.5,1097.09997558594,1085,1089.40002441406,2418,1089.40002441406
"148",1085.09997558594,1093.90002441406,1080.5,1090.69995117188,1139,1090.69995117188
"149",1086.5,1090.59997558594,1082.5,1085.69995117188,1207,1085.69995117188
"150",1084.40002441406,1092.19995117188,1083.59997558594,1090.19995117188,269,1090.19995117188
"151",1088.90002441406,1098.30004882812,1081.69995117188,1094.09997558594,614,1094.09997558594
"152",1093.19995117188,1107.59997558594,1089.5,1104.19995117188,900,1104.19995117188
"153",1103.80004882812,1116.69995117188,1094,1107.59997558594,997,1107.59997558594
"154",1106,1124.5,1101.5,1123.19995117188,797,1123.19995117188
"155",1124.30004882812,1124.30004882812,1113,1115.69995117188,441,1115.69995117188
"156",1113.90002441406,1118.80004882812,1112.5,1112.90002441406,908,1112.90002441406
"157",1113.80004882812,1122,1113.80004882812,1118.59997558594,399,1118.59997558594
"158",1118.19995117188,1118.40002441406,1110,1117.09997558594,475,1117.09997558594
"159",1117,1134.30004882812,1116.80004882812,1128.09997558594,348,1128.09997558594
"160",1132.80004882812,1153.30004882812,1132.80004882812,1153,409,1153
"161",1154.09997558594,1166.5,1150.5,1159.59997558594,261,1159.59997558594
"162",1164,1169,1147.5,1153.40002441406,299,1153.40002441406
"163",1151.5,1155.5,1134,1138.19995117188,217,1138.19995117188
"164",1139.19995117188,1143,1119.59997558594,1124.59997558594,116,1124.59997558594
"165",1127.19995117188,1127.40002441406,1118.40002441406,1122.40002441406,564,1122.40002441406
"166",1125.30004882812,1139,1123.59997558594,1133.09997558594,279,1133.09997558594
"167",1131.09997558594,1134,1124.80004882812,1131.59997558594,194,1131.59997558594
"168",1133.5,1144.69995117188,1133.5,1138.69995117188,375,1138.69995117188
"169",1137.30004882812,1140.40002441406,1130.80004882812,1132.5,201,1132.5
"170",1130.30004882812,1132.90002441406,1120.30004882812,1123.69995117188,122,1123.69995117188
"171",1123.40002441406,1125.19995117188,1116.19995117188,1120.59997558594,51,1120.59997558594
"172",1119.80004882812,1124.30004882812,1116.40002441406,1120.40002441406,138,1120.40002441406
"173",1123.5,1123.5,1102.09997558594,1102.19995117188,150,1102.19995117188
"174",1107.30004882812,1113.5,1105.5,1109.5,56,1109.5
"175",1110.80004882812,1111.69995117188,1098.19995117188,1103.5,81,1103.5
"176",1107.80004882812,1108.59997558594,1104.09997558594,1107.69995117188,19,1107.69995117188
"177",1104.5,1104.5,1102.80004882812,1102.80004882812,8,1102.80004882812
"178",1109.80004882812,1119.90002441406,1109.80004882812,1119.19995117188,31,1119.19995117188
"179",1118.59997558594,1130.5,1117.09997558594,1117.30004882812,14,1117.30004882812
"180",1128.30004882812,1141.19995117188,1127.80004882812,1138.09997558594,59,1138.09997558594
"181",1137.59997558594,1138.5,1130.80004882812,1133.09997558594,17,1133.09997558594
"182",1132.59997558594,1135,1122.5,1125,43,1125
"183",1128.59997558594,1132.19995117188,1128.30004882812,1131.59997558594,33,1131.59997558594
"184",1133,1155.90002441406,1133,1153.80004882812,37,1153.80004882812
"185",1149.80004882812,1149.80004882812,1143.40002441406,1146,56,1146
"186",1133.19995117188,1133.19995117188,1132,1132,4346,1132
