"Date","Open","High","Low","Close","Adj.Close","Volume"
"2015-05-05",159.55,161.95,154.5,154.65,154.65,1231167
"2015-05-06",154.75,156.6,152.4,154.25,154.25,1116650
"2015-05-07",153.15,156.45,150.6,155.9,155.9,1409976
"2015-05-08",157.25,160.8,155.45,160.8,160.8,1026748
"2015-05-11",161,161,157.75,158.35,158.35,720028
"2015-05-12",157.35,157.35,155.1,155.9,155.9,890598
"2015-05-13",156,157.8,154.05,154.4,154.4,741004
"2015-05-14",154.1,159.2,152.55,158.85,158.85,729651
"2015-05-15",160.1,161.1,157.4,158.75,158.75,971636
"2015-05-18",159.6,160.5,156.75,160.15,160.15,532555
"2015-05-19",161,166,160.95,165.95,165.95,1259460
"2015-05-20",165.95,166.5,164.65,166,166,606169
"2015-05-21",165.15,166.05,164.05,165.6,165.6,478351
"2015-05-22",165.2,167.25,163.5,166.4,166.4,628900
"2015-05-25",166.75,166.75,165.3,165.9,165.9,74424
"2015-05-26",166.1,167.75,164.25,165,165,746734
"2015-05-27",165.6,168.3,164.3,167.85,167.85,924789
"2015-05-28",166.85,168.5,165.15,166.55,166.55,654715
"2015-05-29",166.85,166.95,162.1,162.15,162.15,1251558
"2015-06-01",161,163.75,160.95,163.2,163.2,636562
"2015-06-02",165.45,167.7,164.2,165.1,165.1,1299283
"2015-06-03",165.95,168.05,164.4,165.55,165.55,721096
"2015-06-04",164.35,165.85,161.15,163.45,163.45,1075593
"2015-06-05",162.8,163.05,160.15,160.3,160.3,802306
"2015-06-08",160.95,163.25,160.05,160.25,160.25,768094
"2015-06-09",160.05,160.4,154,155.15,155.15,1791289
"2015-06-10",154.65,162.55,153.85,161.55,161.55,1376647
"2015-06-11",162.55,167.95,162.35,165.5,165.5,1311296
"2015-06-12",165.55,166.7,160.7,162.35,162.35,915409
"2015-06-15",160.5,161.95,159.85,159.85,159.85,727541
"2015-06-16",158.45,161.15,157.5,160.3,160.3,919997
"2015-06-17",160.7,161.7,157.6,159.2,159.2,925210
"2015-06-18",158.55,159.95,155.75,159.9,159.9,1021329
"2015-06-19",159.95,163.85,159.4,159.95,159.95,1361113
"2015-06-22",163.5,168.3,163.25,168,168,1226094
"2015-06-23",169.5,171.3,168.25,170.35,170.35,821228
"2015-06-24",170.25,171.35,168.5,170.85,170.85,873797
"2015-06-25",169.25,172,167.95,170.9,170.9,1267703
"2015-06-26",169.8,173.25,169.05,171.2,171.2,781158
"2015-06-29",164.7,167.15,163.1,163.6,163.6,1468007
"2015-06-30",160.75,161.6,157.15,157.15,157.15,2018611
