"Date","Open","High","Low","Close","Adj.Close","Volume"
"2015-04-28",84.95,86,84.55,85.85,85.85,1851341
"2015-04-29",86,87.55,84.75,84.85,84.85,1681096
"2015-04-30",84.85,85.05,83.3,83.65,83.65,1759017
"2015-05-04",84.4,84.55,83.4,83.7,83.7,1292698
"2015-05-05",83.75,85.05,82.85,82.9,82.9,1219840
"2015-05-06",82.95,82.95,81.15,81.65,81.65,1808057
"2015-05-07",80.95,80.95,78.85,80.4,80.4,2335060
"2015-05-08",81.85,82.75,80.7,82.35,82.35,1481889
"2015-05-11",82.6,83,82.05,82.15,82.15,1107017
"2015-05-12",81.5,81.9,80.5,81,81,1827525
"2015-05-13",81,81.95,81,81.35,81.35,1205674
"2015-05-15",82,84.2,81.9,83.6,83.6,2942743
"2015-05-18",83.65,84.6,83.65,84.2,84.2,840941
"2015-05-19",85.45,86.7,85.25,85.65,85.65,2215551
"2015-05-20",85.65,86.55,85.35,86.1,86.1,1274931
"2015-05-21",86.25,87.1,86.05,86.85,86.85,1288749
"2015-05-22",84,86.45,83.6,85.95,85.95,2607678
"2015-05-26",85.65,86,83.8,84.15,84.15,1869087
"2015-05-27",84.15,84.55,83.5,84.3,84.3,2093919
"2015-05-28",84.25,84.9,83.75,84.15,84.15,1377287
"2015-05-29",84,84,81.2,81.2,81.2,3225049
"2015-06-01",81.55,81.85,80.75,81.15,81.15,1447099
"2015-06-02",81.75,81.8,80.3,80.75,80.75,1788556
"2015-06-03",80.85,81.45,80.35,80.95,80.95,1598841
"2015-06-04",81,81,79.9,80.45,80.45,1471787
"2015-06-05",79.9,80,78.5,78.8,78.8,1629850
"2015-06-08",78.5,78.7,77.95,78.1,78.1,1535955
"2015-06-09",77.7,77.8,76.25,76.8,76.8,1737766
"2015-06-10",76.8,78.8,76.6,78.35,78.35,1680034
"2015-06-11",78.75,79.1,78.15,78.55,78.55,1566807
"2015-06-12",78.25,78.65,77.1,77.55,77.55,1443779
"2015-06-15",76.8,77.4,76.8,77.1,77.1,1181975
"2015-06-16",76.8,77.2,76.15,77,77,1312226
"2015-06-17",76.9,77.45,76.25,76.65,76.65,1309494
"2015-06-18",76.1,76.8,75.25,76.2,76.2,1812598
"2015-06-19",76.55,77.25,76.2,76.65,76.65,2715634
"2015-06-22",77.65,78,76.95,77.8,77.8,1706307
"2015-06-23",78.4,78.95,78,78.65,78.65,1386254
"2015-06-24",79,79.15,78.35,78.55,78.55,1714157
"2015-06-25",78.4,79.4,78.2,78.75,78.75,1262287
"2015-06-26",78.2,79.05,77.85,78.9,78.9,1262186
"2015-06-29",76.3,78.25,76.3,77.7,77.7,1505077
"2015-06-30",77.2,77.5,76.05,76.05,76.05,2167206
"2015-07-01",76.3,77.5,76.25,76.7,76.7,1688402
"2015-07-02",76.75,77.4,76.35,77.1,77.1,1148456
"2015-07-03",76.85,77.2,75.85,76.5,76.5,925215
"2015-07-06",75.5,75.9,74.65,75.25,75.25,2002478
"2015-07-07",75.55,75.55,73.6,73.65,73.65,2254245
"2015-07-08",73.45,73.8,72.7,73.45,73.45,2653925
"2015-07-09",73.85,75.25,73.6,74.75,74.75,1411880
"2015-07-10",76.75,76.95,75.65,76.25,76.25,1314839
"2015-07-13",77.05,78.15,76.75,77.95,77.95,1707550
"2015-07-14",78.55,79.1,77.2,78.8,78.8,1677162
"2015-07-15",79.25,79.5,77.75,78.15,78.15,1729213
"2015-07-16",79.2,79.9,78.9,79.9,79.9,1742854
"2015-07-17",79.65,80.6,79.6,80.2,80.2,1162102
"2015-07-20",80.35,81.05,80.05,80.6,80.6,880069
"2015-07-21",80.95,81.4,80.15,80.4,80.4,1117673
"2015-07-22",80.25,80.5,79.55,80.35,80.35,969579
"2015-07-23",80.75,81.7,80.25,81.25,81.25,1561255
"2015-07-24",81.1,81.65,80.35,80.55,80.55,1226738
"2015-07-27",80.2,80.35,78.55,79,79,1498831
"2015-07-28",79.75,81.1,79.55,80.6,80.6,1623249
"2015-07-29",81.65,82.85,81.6,82,82,2436788
"2015-07-30",82.3,83.4,81.95,82.35,82.35,1454985
"2015-07-31",82.75,83.5,82.1,83.4,83.4,1941500
"2015-08-03",83.4,83.7,82.35,82.65,82.65,1530610
"2015-08-04",82.85,84.05,82.45,83.75,83.75,1683519
"2015-08-05",84.25,84.55,83.6,84.1,84.1,1566250
"2015-08-06",84.1,84.65,83.65,83.7,83.7,998206
"2015-08-07",83.45,84.1,83.15,83.6,83.6,744803
"2015-08-10",83.8,84.65,83.35,84.2,84.2,1110482
"2015-08-11",83,83.1,80.55,80.7,80.7,2586615
"2015-08-12",79.05,79.2,76.55,77.3,77.3,2483347
"2015-08-13",78.95,79.15,77.35,77.9,77.9,1695275
"2015-08-14",77.8,78.15,77.2,77.45,77.45,1210559
"2015-08-17",78.2,78.65,77.45,78,78,1189352
"2015-08-18",77.9,77.95,76.85,77.25,77.25,1038377
"2015-08-19",76.7,76.95,75.8,75.95,75.95,1323076
"2015-08-20",75.1,75.35,74,74.15,74.15,1969412
"2015-08-21",72.45,74.85,72.45,72.6,72.6,2627412
"2015-08-24",70.5,70.95,66.4,68.85,68.85,5011843
"2015-08-25",70,72.35,69.8,71.8,71.8,3863308
"2015-08-26",70.8,71.55,69.75,70.15,70.15,2885836
"2015-08-27",71.75,72.95,70.95,72.5,72.5,2565282
"2015-08-28",72.8,73,71.3,73,73,1862412
"2015-08-31",72.2,72.55,71.1,72.35,72.35,1557316
"2015-09-01",71.65,71.9,70.1,70.7,70.7,2489652
"2015-09-02",71.05,72.25,70.85,71.4,71.4,2005847
"2015-09-03",72.15,72.9,71.6,72.5,72.5,1858408
"2015-09-04",71.4,71.65,69.9,70.4,70.4,2128074
"2015-09-07",70.8,71.4,70.15,70.45,70.45,1220050
"2015-09-08",70.75,72.7,70.75,71.7,71.7,1413019
"2015-09-09",73.7,73.9,72.25,72.45,72.45,1438127
"2015-09-10",72.05,72.05,70.15,70.95,70.95,2021559
"2015-09-11",71,71.95,70.3,71,71,1432355
"2015-09-14",71.45,72.85,70.45,70.6,70.6,1858488
"2015-09-15",70.8,72.2,70.1,72.05,72.05,1808309
"2015-09-16",75,77.45,74.95,76.8,76.8,4956022
"2015-09-17",76.8,77.75,75.6,77.3,77.3,2363461
"2015-09-18",75.9,76.6,74.8,76.05,76.05,4353751
"2015-09-21",76.4,77.2,75.6,75.7,75.7,1934175
"2015-09-22",76.15,76.25,73.5,73.6,73.6,1815285
"2015-09-23",73.5,75.1,72.9,74.1,74.1,1670477
"2015-09-24",74.3,74.3,72.25,72.5,72.5,2283714
"2015-09-25",74.15,75.9,74,75.1,75.1,2110115
"2015-09-28",75.35,76.05,73.7,73.8,73.8,1591268
"2015-09-29",73,74.35,72.6,73.7,73.7,1510827
"2015-09-30",75.3,76.05,74.55,75.7,75.7,2928916
"2015-10-01",76.7,76.95,74.9,75.4,75.4,2090116
"2015-10-02",76.2,76.65,73.9,74.7,74.7,1954253
"2015-10-05",77.4,78.85,77.1,78.8,78.8,2469639
"2015-10-06",80.1,81,78.95,80.9,80.9,2371405
"2015-10-07",81.5,83.2,80.85,81.7,81.7,2553999
"2015-10-08",81.5,82.7,80.8,82.5,82.5,1954342
"2015-10-09",83.1,84.95,82.85,83.9,83.9,2120518
"2015-10-12",84.3,84.65,82.85,83.7,83.7,1729780
"2015-10-13",83.25,83.25,81.8,82.4,82.4,1704479
"2015-10-14",81.9,83.05,80.95,82.4,82.4,1652433
"2015-10-15",82,82.55,81.3,81.8,81.8,1693816
"2015-10-16",82,82,80.05,80.35,80.35,2048093
"2015-10-19",80,81.4,79.9,80.85,80.85,1294274
"2015-10-20",79.85,80,78.95,79.75,79.75,1622684
"2015-10-21",80.25,80.6,79.1,79.95,79.95,1398768
"2015-10-22",79.95,82.65,79.7,82.4,82.4,1339763
"2015-10-23",82.85,84.95,82.25,83.7,83.7,1907881
"2015-10-26",83.75,84.4,83.3,83.45,83.45,934206
"2015-10-27",83.4,84.45,82.7,83.25,83.25,1218929
"2015-10-28",83.45,84.35,83.05,83.9,83.9,1104118
"2015-10-29",84.35,84.5,83.65,84.15,84.15,904775
"2015-10-30",84.65,85,84.05,84.8,84.8,1242125
"2015-11-02",84,84.75,84,84.3,84.3,808757
"2015-11-03",84.55,85.6,84.25,85.45,85.45,1358174
"2015-11-04",85.9,86.6,85.7,86.1,86.1,1172544
"2015-11-05",86.65,86.75,85.6,86.6,86.6,1176177
"2015-11-06",80.7,81.75,78.55,81.7,81.7,4314886
"2015-11-09",81.4,81.45,80.05,80.15,80.15,1507073
"2015-11-10",80.45,80.5,78.85,80,80,1237564
"2015-11-11",80,81.6,79.95,81.1,81.1,1235320
"2015-11-12",81.45,81.7,78.95,80,80,1350865
"2015-11-13",79.55,79.55,76.95,77.45,77.45,1986245
"2015-11-16",75.65,77.35,75.65,76.7,76.7,2033455
"2015-11-17",77.5,78.8,77.4,78.3,78.3,1835268
"2015-11-18",78.15,78.2,76.7,77.8,77.8,1315389
"2015-11-19",77.75,78.45,76.9,77.7,77.7,1365659
"2015-11-20",78.4,78.6,77.35,77.9,77.9,1243631
"2015-11-23",77.4,77.45,76.55,77,77,1036365
"2015-11-24",76.7,76.7,74,74.6,74.6,2076656
"2015-11-25",75.15,76.1,74.95,75.6,75.6,1539006
"2015-11-26",75.9,76.75,75.7,76.5,76.5,1106415
"2015-11-27",76.1,77.8,75.55,76.85,76.85,1270993
"2015-11-30",77.1,78.15,76.65,77,77,1612902
"2015-12-01",77.9,78.35,77,78,78,1622325
"2015-12-02",77.8,78.25,76.8,77.7,77.7,1356874
"2015-12-03",77.3,77.75,75.45,75.9,75.9,2040813
"2015-12-04",75.2,75.55,73.6,75.3,75.3,2048565
"2015-12-07",75.55,76.3,74.85,75.65,75.65,1241076
"2015-12-08",75.35,75.45,72.5,73.35,73.35,2181690
"2015-12-09",73.65,73.65,71.7,72.8,72.8,1688687
"2015-12-10",72.4,73,71.8,72.3,72.3,1696038
"2015-12-11",72,72.65,69.6,70.55,70.55,2661127
"2015-12-14",71.3,71.55,69.45,69.5,69.5,2010681
"2015-12-15",70.15,71.2,69.95,70.95,70.95,2611631
"2015-12-16",70.9,72.15,70.35,72.05,72.05,1820336
"2015-12-17",73.5,73.95,71.5,71.95,71.95,1957484
"2015-12-18",71.55,71.75,70.3,70.9,70.9,2628198
"2015-12-21",70.45,71.8,70.25,70.25,70.25,942126
"2015-12-22",70.25,71.3,70.15,70.75,70.75,1091263
"2015-12-23",71.65,72.35,71.45,71.95,71.95,1043376
"2015-12-28",72.35,72.4,71.45,71.9,71.9,562740
"2015-12-29",72.35,72.9,72,72.8,72.8,942434
"2015-12-30",73.15,73.3,71.7,72.1,72.1,943464
"2016-01-04",70.55,70.55,69.1,69.85,69.85,2466455
"2016-01-05",69.85,69.9,68.4,69.3,69.3,1868898
"2016-01-06",69.05,69.05,66.9,68,68,2644987
"2016-01-07",66.2,67.1,64.7,67,67,3150576
"2016-01-08",67.4,68.15,65.65,66.05,66.05,2599558
"2016-01-11",65,66.35,64.8,65,65,2166170
"2016-01-12",64.9,66.55,64,65.55,65.55,1925709
"2016-01-13",66.4,66.75,65.05,65.45,65.45,2549531
"2016-01-14",66,66.6,63.15,64.65,64.65,4303810
"2016-01-15",64.5,65.1,62.25,63.1,63.1,3245161
"2016-01-18",63.2,64.15,62.6,62.8,62.8,1735453
"2016-01-19",64.05,64.55,63.35,63.75,63.75,2019385
"2016-01-20",62.2,62.35,60.85,62.1,62.1,2884030
"2016-01-21",62.1,63.35,61.9,62.4,62.4,2770835
"2016-01-22",63.85,64.9,63.55,64.35,64.35,2385400
"2016-01-25",64.9,64.9,63.05,63.75,63.75,1804768
"2016-01-26",62,64.55,61.7,64.2,64.2,2405917
"2016-01-27",64.15,65.75,63.55,65.65,65.65,2055366
"2016-01-28",65.65,66.65,64.7,65.15,65.15,1897766
"2016-01-29",66.35,66.55,65.3,66.25,66.25,2412780
"2016-02-01",66.9,67.1,65.55,66,66,2095820
"2016-02-02",66,66,63.85,64.2,64.2,2806449
"2016-02-03",63.85,65.25,63.1,64.6,64.6,2856662
"2016-02-04",65.6,65.8,64.3,64.95,64.95,2786012
"2016-02-05",64.8,66.3,64.7,65.5,65.5,1983112
"2016-02-08",65.95,66.15,63.55,63.7,63.7,2449627
"2016-02-09",63.7,64.1,61.65,62.5,62.5,2629908
"2016-02-10",63.5,63.6,62.1,62.95,62.95,2345797
"2016-02-11",62.3,62.4,60.1,60.75,60.75,2625151
"2016-02-12",61.4,62.4,61,62.4,62.4,2268310
"2016-02-15",64.4,65.05,63.75,64.75,64.75,1692815
"2016-02-16",65.55,65.7,64,64.7,64.7,1701455
"2016-02-17",65.3,67.2,65.05,67,67,2106137
"2016-02-18",67.45,67.45,65.85,66.2,66.2,2038733
"2016-02-19",65.8,66.15,64.35,65,65,2878104
"2016-02-22",65.95,66.3,64.85,64.9,64.9,1608553
"2016-02-23",64.4,64.55,62.9,63.05,63.05,1639165
"2016-02-24",62.75,62.75,60.75,63.05,63.05,2353456
"2016-02-25",62.15,62.55,61.15,62.25,62.25,1687978
"2016-02-26",62.9,64.35,62.8,63.5,63.5,1751801
"2016-02-29",62.55,63.85,62.25,63.8,63.8,1600707
"2016-03-01",63.9,64.95,63.65,64.9,64.9,1376489
"2016-03-02",65.65,65.9,64.65,65.5,65.5,1725700
"2016-03-03",65.8,65.8,64.8,65.1,65.1,1092513
"2016-03-04",65.15,65.7,64.7,65.55,65.55,1298485
"2016-03-07",65.75,67.6,65.55,67,67,1561829
"2016-03-08",66.5,68.6,66.45,67.7,67.7,1894781
"2016-03-09",68.25,68.25,66.9,67.15,67.15,1529951
"2016-03-10",67.25,68.6,66.35,66.35,66.35,1911791
"2016-03-11",67.3,67.65,65.9,66.45,66.45,1550545
"2016-03-14",66.55,67.4,66.4,66.85,66.85,1178144
"2016-03-15",66.4,66.55,64.55,64.85,64.85,2482500
"2016-03-16",65.15,65.2,63.95,64.1,64.1,1209564
"2016-03-17",64.55,64.9,63,63.9,63.9,1631042
"2016-03-18",63.9,65.3,63.8,64.85,64.85,4337812
"2016-03-21",64.55,64.7,63.5,63.7,63.7,1231367
"2016-03-22",63.5,63.55,61.75,62.6,62.6,2217687
"2016-03-23",62.65,63.25,62.3,62.95,62.95,1681764
"2016-03-24",61.95,62,61,61.3,61.3,1893453
"2016-03-29",60.7,61.9,60.7,61.85,61.85,1577650
"2016-03-30",62.4,64.6,62.4,64.15,64.15,2354470
"2016-03-31",64.05,64.45,63.4,63.55,63.55,1959214
"2016-04-01",61.65,62.45,61.3,62.3,62.3,2444855
"2016-04-04",62,62.3,61.75,62.05,62.05,1466370
"2016-04-05",61.7,61.7,60.55,61.25,61.25,1788048
"2016-04-06",61.4,61.55,60.2,60.95,60.95,1995155
