"","year","Richemont_start","Richemont_end","Kering_start","Kering_end","LVMH_start","LVMH_end","Richemont_annual_return","Kering_annual_return","LVMH_annual_return"
"1",2015,82.9,72.1,153.86946105957,149.129302978516,154.65,147.15,-13.0277442702051,-3.08063604591354,-4.84966052376334
"2",2016,69.85,67.45,141.089599609375,198.250411987305,139.2,181.4,-3.43593414459555,40.513838395025,30.316091954023
"3",2017,67.25,88.3,199.040435791016,365.271514892578,179.7,245.4,31.3011152416357,83.5162355030701,36.5609348914858
"4",2018,89.3,63,360.810180664062,397.5,242.75,252.75,-29.451287793953,10.1687317326832,4.11946446961895
"5",2019,61.26,76.06,380.700012207031,586.299987792969,243.65,414.6,24.1593209271956,54.0057706838552,70.1621177919146
"6",2020,76.58,80.08,600.900024414062,588,419.1,513.1,4.57038391224863,-2.14678380594856,22.4290145549988
"7",2021,81.18,136.95,580.700012207031,707.799987792969,512.1,730,68.6991869918699,21.8873726389081,42.5502831478227
"8",2022,137.75,119.9,708,475.5,731,679.9,-12.9582577132486,-32.8389830508475,-6.99042407660739
"9",2023,127.3,115.75,489.100006103516,399,702.8,733.6,-9.07305577376276,-18.4215916947764,4.38247011952192
"10",2024,112,137.9,381.149993896484,237.100006103516,695.4,629.3,23.125,-37.7935170142205,-9.50532067874605
"11",2025,134.25,145.25,224.350006103516,173.240005493164,611.3,499.7,8.19366852886406,-22.7813680498719,-18.2561753639784
