"","year","Richemont_start","Richemont_end","Kering_start","Kering_end","LVMH_start","LVMH_end","Richemont_annual_return","Kering_annual_return","LVMH_annual_return"
"1",2015,86.6999969482422,72.0999984741211,143.273803710938,149.129302978516,127.050003051758,147.149993896484,-16.8396758800775,4.08692944272765,15.8205355072193
"2",2016,69.8499984741211,67.4499969482422,141.089599609375,198.250411987305,139.199996948242,181.399993896484,-3.43593640416197,40.5138383950248,30.3160904263045
"3",2017,67.25,88.3000030517578,199.040435791016,365.271514892578,179.699996948242,245.399993896484,31.3011197795655,83.5162355030705,36.560933814131
"4",2018,89.3000030517578,63,360.810180664062,397.5,242.75,252.75,-29.4512902049001,10.168731732683,4.11946446961895
"5",2019,61.2599983215332,76.0599975585938,380.700012207031,586.299987792969,243.649993896484,414.600006103516,24.1593203437263,54.0057706838551,70.162124559568
"6",2020,76.5800018310547,80.0800018310547,600.900024414062,588,419.100006103516,513.099975585938,4.57038380296915,-2.14678380594864,22.4290069466628
"7",2021,81.1800003051758,136.949996948242,580.700012207031,707.799987792969,512.099975585938,730,68.6991825984394,21.8873726389081,42.5502899438229
"8",2022,137.75,119.900001525879,708,475.5,731,679.900024414062,-12.9582566055326,-32.8389830508475,-6.99042073679036
"9",2023,127.300003051758,115.75,489.100006103516,399,702.799987792969,733.599975585938,-9.07305795355071,-18.4215916947763,4.38246845872767
"10",2024,112,137.899993896484,381.149993896484,237.100006103516,695.400024414062,629.299987792969,23.1249945504325,-37.7935170142206,-9.50532561122485
"11",2025,134.25,145.050003051758,224.350006103516,177.919998168945,611.299987792969,495.75,8.04469501062034,-20.6953450730674,-18.902337657514
