"Date","Open","High","Low","Close","Adj.Close","Volume"
"2015-04-23",136.23,136.25,135.99,136,136,132827
"2015-04-24",134.2,135.04,133.37,134.9,134.9,259852
"2015-04-27",134.62,134.73,134.12,134.47,134.47,79508
"2015-04-28",137.7,137.8,137.47,137.66,137.66,179494
"2015-04-29",136.82,139.64,136.74,137.84,137.84,256076
"2015-04-30",138.13,138.15,138,138.15,138.15,293138
"2015-05-01",141.5,141.86,140.23,141.75,141.75,254574
"2015-05-04",142.39,143.12,141.8,142.77,142.77,62273
"2015-05-05",140.2,141.35,139.72,140.1,140.1,226304
"2015-05-06",139.06,139.09,138.69,138.7,138.7,231072
"2015-05-07",138.53,138.76,136.86,137.82,137.82,77221
"2015-05-08",139.28,141.59,139.11,140.39,140.39,274280
"2015-05-11",141.5,141.59,140.95,141.19,141.19,270194
"2015-05-12",141.67,143.41,140.65,142.08,142.08,190283
"2015-05-13",142.85,144.56,141.29,142.36,142.36,216080
"2015-05-14",141.36,141.66,141.16,141.21,141.21,125381
"2015-05-15",145.67,145.98,144.45,145.04,145.04,219639
"2015-05-18",145.52,146.55,144.89,146.17,146.17,129295
"2015-05-19",142.11,143.23,141.42,141.9,141.9,179523
"2015-05-20",143.56,143.96,143.37,143.44,143.44,296153
"2015-05-21",142.91,143.83,142.08,142.46,142.46,157179
"2015-05-22",140.12,140.61,139.48,140.22,140.22,295194
"2015-05-25",140.29,140.81,139.03,139.81,139.81,135178
"2015-05-26",137.51,138.26,137.26,137.7,137.7,285932
"2015-05-27",136.06,136.57,134.21,136.23,136.23,106558
"2015-05-28",135.01,135.3,134.74,135,135,206463
"2015-05-29",131.2,131.82,129.65,131.62,131.62,250991
"2015-06-01",133.13,133.9,132.2,133.31,133.31,115622
"2015-06-02",134.11,134.26,133.65,133.66,133.66,162918
"2015-06-03",132.07,132.11,130.15,131.42,131.42,221399
"2015-06-04",134.38,135.15,133.15,133.93,133.93,182389
"2015-06-05",134.66,135.34,132.52,134.83,134.83,114303
"2015-06-08",134.4,134.5,133.13,134.27,134.27,108384
"2015-06-09",136.15,138.01,135.95,136.11,136.11,184404
"2015-06-10",137.43,139.01,136.51,137.95,137.95,63373
"2015-06-11",139.8,140.06,139.62,139.69,139.69,248467
"2015-06-12",140.82,141.52,139.15,141.17,141.17,110214
"2015-06-15",141.94,142.77,141.43,142.39,142.39,154685
"2015-06-17",141.39,142.93,140.51,141.69,141.69,146949
"2015-06-18",140.86,142.12,140.79,140.92,140.92,212887
"2015-06-19",139.09,139.72,138.33,139.5,139.5,57586
"2015-06-22",139.13,140.17,137.65,139.1,139.1,246951
"2015-06-23",136.71,136.75,136.24,136.5,136.5,167853
"2015-06-24",141.2,142.51,140.48,140.99,140.99,223657
"2015-06-25",143.12,144.1,142.15,143.58,143.58,183838
"2015-06-26",141.74,142.23,139.74,141.21,141.21,86126
"2015-06-29",141.03,141.13,139.51,140.4,140.4,85853
"2015-06-30",139.61,139.92,138.86,139.46,139.46,110937
"2015-07-01",141.2,141.37,140.97,141.13,141.13,242732
"2015-07-02",141.03,141.69,139.86,141,141,223781
"2015-07-03",141.68,141.69,141.05,141.57,141.57,249218
"2015-07-06",141.72,142.54,140.73,141.56,141.56,261044
"2015-07-07",141.57,141.98,141.21,141.51,141.51,261154
"2015-07-08",144.74,144.75,143.88,144.45,144.45,288385
"2015-07-09",143.86,144.11,143.35,144.01,144.01,192868
"2015-07-10",147.83,148.96,147.12,147.33,147.33,205922
"2015-07-13",143.93,144.51,143.77,143.95,143.95,197451
"2015-07-14",144.49,145.48,144.11,145.25,145.25,123447
"2015-07-15",145.52,146.39,143.4,145.57,145.57,145507
"2015-07-16",146.28,146.97,144.54,146.08,146.08,53008
"2015-07-17",147.5,148.21,146.4,146.96,146.96,195434
"2015-07-20",145.92,146.34,144.22,145.9,145.9,216440
"2015-07-21",144.37,146.72,143.63,145.21,145.21,147428
"2015-07-22",143.04,144.25,141.57,143.04,143.04,215642
"2015-07-23",140.27,140.93,139.25,140.78,140.78,259180
"2015-07-24",141.05,141.7,140.95,141.46,141.46,156646
"2015-07-27",142.02,142.88,140.81,142.46,142.46,74427
"2015-07-28",142.27,143.79,141.69,142.61,142.61,154240
"2015-07-29",145.12,145.46,144.48,144.63,144.63,257494
"2015-07-30",148.75,151.52,147.84,149.12,149.12,78761
"2015-07-31",147.87,148.16,147.2,148.06,148.06,237000
"2015-08-03",143.06,143.25,142.92,142.98,142.98,293080
"2015-08-04",145.57,145.72,145.12,145.18,145.18,297778
"2015-08-05",143.39,144.69,143.26,143.68,143.68,187997
"2015-08-06",141.89,142.88,140.32,142.24,142.24,159099
"2015-08-07",144.25,145.09,144.03,144.47,144.47,235903
"2015-08-10",143.39,144.2,143.19,143.9,143.9,260516
"2015-08-11",141.69,141.75,139.96,141.3,141.3,266200
"2015-08-12",140.8,142.16,139.34,141.73,141.73,170163
"2015-08-13",141.25,142.06,141.12,141.48,141.48,211057
"2015-08-14",140.92,142.94,140.16,141.53,141.53,230678
"2015-08-17",141.56,142.58,140,142.39,142.39,277395
"2015-08-18",141.66,142.19,141.56,141.64,141.64,233457
